Age Group,min_officialtime,max_officialtime,mean_officialtime,median_officialtime
18–21,0 days 02:12:45,0 days 07:04:33,0 days 03:55:06.240546218,0 days 03:46:33
22–25,0 days 02:09:17,0 days 07:16:59,0 days 03:49:14.993499215,0 days 03:38:45
26–29,0 days 02:10:22,0 days 06:13:24,0 days 03:45:36.662878787,0 days 03:35:14
30–33,0 days 02:09:48,0 days 06:52:10,0 days 03:44:09.837367835,0 days 03:33:58.500000
34–37,0 days 02:17:40,0 days 10:30:23,0 days 03:43:36.139038071,0 days 03:35:37
38–41,0 days 02:12:42,0 days 08:23:27,0 days 03:46:55.285502802,0 days 03:39:53
42–45,0 days 02:18:44,0 days 07:22:23,0 days 03:49:26.704202531,0 days 03:43:51
46–49,0 days 02:24:49,0 days 07:58:14,0 days 03:52:48.105555555,0 days 03:47:22
50–53,0 days 02:30:57,0 days 08:00:37,0 days 03:57:34.878048780,0 days 03:51:44
54–57,0 days 02:44:52,0 days 07:19:37,0 days 04:03:25.281280467,0 days 03:57:11.500000
58–61,0 days 02:45:47,0 days 07:51:30,0 days 04:12:36.892512077,0 days 04:07:01
62–65,0 days 03:11:09,0 days 08:06:01,0 days 04:22:03.300801508,0 days 04:16:42
66–69,0 days 03:04:55,0 days 07:59:33,0 days 04:32:01.316306483,0 days 04:27:20.500000
70–84,0 days 03:29:38,0 days 06:56:47,0 days 04:49:10.699828473,0 days 04:45:01
