Age Group,min_pace,max_pace,mean_pace,median_pace
18–21,0 days 00:03:08.896842440,0 days 00:10:03.972798854,0 days 00:05:34.615566728,0 days 00:05:22.491648771
22–25,0 days 00:03:03.925872902,0 days 00:10:21.371192237,0 days 00:05:26.291749390,0 days 00:05:11.306967310
26–29,0 days 00:03:05.789986478,0 days 00:08:51.272369362,0 days 00:05:21.113962137,0 days 00:05:06.335997773
30–33,0 days 00:03:05.168615286,0 days 00:09:46.574405472,0 days 00:05:19.062091270,0 days 00:05:04.471884196
34–37,0 days 00:03:16.353296746,0 days 00:15:13.415652588,0 days 00:05:18.266932760,0 days 00:05:06.957368965
38–41,0 days 00:03:08.896842440,0 days 00:11:56.440984649,0 days 00:05:22.982267221,0 days 00:05:13.171080887
42–45,0 days 00:03:17.596039131,0 days 00:10:29.449017736,0 days 00:05:26.572500142,0 days 00:05:18.763421617
46–49,0 days 00:03:26.295235822,0 days 00:12:18.188976377,0 days 00:05:31.385604533,0 days 00:05:23.734391155
50–53,0 days 00:03:34.994432514,0 days 00:11:23.508311461,0 days 00:05:38.138768744,0 days 00:05:29.948103078
54–57,0 days 00:03:54.878310665,0 days 00:10:25.720790582,0 days 00:05:46.441095829,0 days 00:05:37.404557384
58–61,0 days 00:03:56.121053050,0 days 00:11:10.459516424,0 days 00:05:59.516066269,0 days 00:05:51.696094806
62–65,0 days 00:04:32.160582199,0 days 00:11:31.586136960,0 days 00:06:12.938142145,0 days 00:06:05.366261035
66–69,0 days 00:04:23.461385508,0 days 00:11:22.265569076,0 days 00:06:27.120356606,0 days 00:06:20.279169649
70–84,0 days 00:04:58.258172273,0 days 00:09:52.788117394,0 days 00:06:51.508667596,0 days 00:06:45.755388530
